Country,Code,Year,Agriculture (% of GDP),GDP per capita,Population (historical),Region
Iceland,ISL,2021,4.4073586,53135.953,372649,Europe
India,IND,2021,17.326263,6677.185,1414203889,Asia
Indonesia,IDN,2021,13.280216,11859.437,276758056,Asia
Iran,IRN,2021,12.393096,15004.6875,88455491,Asia
Iraq,IRQ,2021,3.3107805,8786.582,43071210,Asia
Ireland,IRL,2021,0.99163556,104671.875,5028430,Europe
Isle of Man,IMN,2021,,,84121,Europe
Israel,ISR,2021,1.2610086,42379.156,8942925,Asia
Italy,ITA,2021,1.900184,42562.555,59729354,Europe
Jamaica,JAM,2021,8.340802,9605.191,2837682,North America
Japan,JPN,2021,1.0132809,41258.71,125679341,Asia
Jersey,JEY,2021,,,103337,Europe
Jordan,JOR,2021,4.7867527,9380.045,11066358,Asia
Kazakhstan,KAZ,2021,5.030002,26110.53,19743607,Asia
Kenya,KEN,2021,21.477076,4745.637,53219165,Africa
Kiribati,KIR,2021,23.093283,2007.987,128386,Oceania
Kosovo,OWID_KOS,2021,6.9233055,11884.182,1741449,Europe
Kuwait,KWT,2021,,45579.688,4360749,Asia
Kyrgyzstan,KGZ,2021,12.412233,4910.0864,6820483,Asia
Laos,LAO,2021,16.067698,7846.975,7453191,Asia
Latin America and Caribbean (WB),,2021,7.167695,15956.927,,Europe
Latin America and the Caribbean (UN),,2021,,,650465295,Europe
Latvia,LVA,2021,4.1363726,31833.842,1885592,Europe
Lebanon,LBN,2021,1.4001656,12986.913,5718127,Asia
Lesotho,LSO,2021,6.1170545,2239.3052,2261549,Africa
Liberia,LBR,2021,36.962097,1423.2296,5259326,Africa
Libya,LBY,2021,1.6993728,20273.88,7135180,Africa
Liechtenstein,LIE,2021,0.1660493,,39062,Europe
Lithuania,LTU,2021,3.3963053,39432.402,2794489,Europe
Low-income countries,,2021,26.274075,1921.8851,698215270,Europe
Lower-middle-income countries,,2021,15.941219,6865.1377,3180608875,Europe
Luxembourg,LUX,2021,0.19065003,118510,640276,Europe
Macao,MAC,2021,,66820.91,694404,Asia
Madagascar,MDG,2021,23.188223,1482.3761,29691087,Africa
Malawi,MWI,2021,22.77413,1491.1337,20047263,Africa
Malaysia,MYS,2021,9.574614,26407.316,34282405,Asia
Maldives,MDV,2021,5.3077893,18757.78,516162,Asia
Mali,MLI,2021,35.681828,2120.6233,22388638,Africa
Malta,MLT,2021,0.8887289,46598.96,524383,Europe
Marshall Islands,MHL,2021,25.076384,5976.0303,41386,Oceania
Martinique,MTQ,2021,,,353285,North America
Mauritania,MRT,2021,19.14858,5142.2812,4734875,Africa
Mauritius,MUS,2021,3.280236,20915.217,1279627,Africa
Mayotte,MYT,2021,,,294431,Africa
Mexico,MEX,2021,3.7934062,19617.76,127648152,North America
Micronesia (country),FSM,2021,22.275633,3320.9114,111636,Oceania
Middle East and North Africa (WB),,2021,5.087484,16066.921,,Europe
Middle-income countries,,2021,8.883469,11907.978,,Europe
Moldova,MDA,2021,10.586587,13703.939,3023780,Europe
Monaco,MCO,2021,,,38548,Europe
Mongolia,MNG,2021,13.163175,11668.431,3339678,Asia
Montenegro,MNE,2021,6.4614835,20710.535,603854,Europe
Montserrat,MSR,2021,,,4505,North America
Morocco,MAR,2021,11.995588,8065.986,36954442,Africa
Mozambique,MOZ,2021,26.89459,1231.8641,31707797,Africa
Myanmar,MMR,2021,22.78529,4113.8936,53387102,Asia
Namibia,NAM,2021,9.49037,9208.583,2810553,Africa
Nauru,NRU,2021,,10989.622,11726,Oceania
Nepal,NPL,2021,22.021452,3853.6802,29475018,Asia
Netherlands,NLD,2021,1.5169076,57334.703,17730564,Europe
New Caledonia,NCL,2021,,,285226,Oceania
New Zealand,NZL,2021,,44041.902,5107696,Oceania
Nicaragua,NIC,2021,15.528868,5692.035,6644745,North America
Niger,NER,2021,36.481026,1186.53,24502144,Africa
Nigeria,NGA,2021,23.35706,4922.6323,218529285,Africa
Niue,NIU,2021,,,1836,Oceania
North America,,2021,,,600876352,Asia
North America (WB),,2021,1.0179687,62061.168,,Asia
North Korea,PRK,2021,,,26232531,Asia
North Macedonia,MKD,2021,7.1475353,16708.598,1851109,Europe
Northern America (UN),,2021,,,378741971,Oceania
Northern Mariana Islands,MNP,2021,,,47003,Oceania
Norway,NOR,2021,1.5988692,65915.53,5408081,Europe
Oceania,,2021,,,44558538,Asia
Oceania (UN),,2021,,,44558212,Asia
Oman,OMN,2021,2.1207798,34294.766,4500427,Asia
Pakistan,PAK,2021,22.662508,5233.4595,239477805,Asia
Palau,PLW,2021,3.4577088,14112.668,17809,Oceania
Palestine,PSE,2021,6.3167486,5641.0444,5185341,Asia
Panama,PAN,2021,2.6550734,30416.793,4345410,North America
Papua New Guinea,PNG,2021,18.989937,3637.9133,10012899,Oceania
Paraguay,PRY,2021,11.278901,13676.391,6684184,South America
Peru,PER,2021,7.2184615,12533.842,33155883,South America
Philippines,PHL,2021,10.069166,8095.5796,113100946,Asia
Poland,POL,2021,2.2418559,34944.04,38040304,Europe
Portugal,PRT,2021,2.150372,33636.44,10390956,Europe
Puerto Rico,PRI,2021,0.66758233,32766.666,3253210,North America
Qatar,QAT,2021,0.29823968,92895.34,2814989,Asia
Reunion,REU,2021,,,868084,Africa
Romania,ROU,2021,4.5092473,30946.277,19248159,Europe
Russia,RUS,2021,3.8700013,28057.031,145836172,Europe
Rwanda,RWA,2021,24.096308,2237.514,13355260,Africa
Saint Barthelemy,BLM,2021,,,10790,North America
Saint Helena,SHN,2021,,,5415,Africa
Saint Kitts and Nevis,KNA,2021,1.2393236,26460.477,46786,North America
Saint Lucia,LCA,2021,1.520491,13045.966,178540,North America
Saint Martin (French part),MAF,2021,,,29986,North America
Saint Pierre and Miquelon,SPM,2021,,,5802,North America
Saint Vincent and the Grenadines,VCT,2021,5.356688,13839.464,102848,North America
Samoa,WSM,2021,9.852789,5534.566,213792,Oceania
San Marino,SMR,2021,0.016625393,61609.01,34599,Europe
Sao Tome and Principe,STP,2021,15.266177,3502.4353,221975,Africa
Saudi Arabia,SAU,2021,2.6751661,46768.434,31328374,Asia
Senegal,SEN,2021,15.468724,3511.6375,17220866,Africa
Serbia,SRB,2021,6.29319,19860.31,6835434,Europe
Seychelles,SYC,2021,2.8836474,27928.373,123000,Africa
Sierra Leone,SLE,2021,57.448788,1614.8599,8094603,Africa
Singapore,SGP,2021,0.031473704,107741.12,5546292,Asia
Sint Maarten (Dutch part),SXM,2021,,38360.527,41590,North America
Slovakia,SVK,2021,1.778465,32512.695,5442767,Europe
Slovenia,SVN,2021,1.6839955,40104.36,2113495,Europe
Solomon Islands,SLB,2021,,2397.3228,762594,Oceania
Somalia,SOM,2021,,1458.2279,17271435,Africa
South Africa,ZAF,2021,2.557299,13337.79,61502601,Africa
South America,,2021,,,428331420,South America
South America (excl. Brazil),,2021,,,220974576,South America
South Asia (WB),,2021,17.098837,6361.804,,South America
South Korea,KOR,2021,1.8556643,44299.91,51848401,Asia
South Sudan,SSD,2021,,,10865786,Africa
Spain,ESP,2021,2.7307758,38319.29,47735670,Europe
Sri Lanka,LKA,2021,8.834625,13250.63,22700377,Asia
